jan_02_2022,july_07_2021,july_24_2021,sep_09_2021,oct_31_2021,dec_27_2021,jan_25_2022
adigratana bud,ambigens first bloom,Aloe archeri bud,Aloe ankoberensis,africana bud,africana,acutissima
africana,ankoberensis bud,Aloe canarina bud,Aloe austrosudanica,allochroa,ambigens,africana
ankoberensis,canarina bud,Aloe confusa flower,Aloe canarina,ankoberensis,ankoberensis,ankoberensis
archeri,castilloniae,Aloe francombei bud,Aloe cheranganiensis,austrosudanica,arborescens,arborescens
bussei,clarkei,Aloe hildebrandtii red bud,Aloe clarkei,bukobana,austrosudanica,austrosudanica
cameronii,cremnophila,Aloe leptosiphon bud,Aloe classenii,butiabana,bussei,bussei
castanea,dawei,Aloe mcloughlinii bud,Aloe dawei,cameronii emerging,butiabana,butiabana
chabaudii,elgonica,Aloe montis nabro bud,Aloe elgonica,canarina,cameronii,cameronii
ciliaris,gilbertii bud,Aloe omoana bud,Aloe francombei,candelabrum emerging,canarina,castanea
cryptopoda,gracilicaulis,Aloe schweinfurthii bud,Aloe gilbertii,chabaudii bud,castanea buds,chabaudii
debrana,harlana x megalacantha,Aloe vituensis bud,Aloe harlana bud,cheranganiensis,chabaudii,ciliaris
divaricata,Hellskloof Bells,Aloe yavellana GP bud,Aloe hemmingii,chrysostachys,cheranganiensis end,clarkei
elegans,hildebrandtii,,Aloe ithya bud,ciliaris,chrysostachys,classenii
excelsa,jacksonii,,Aloe kulalensis,clarkei,ciliaris,congdonii
eximia,jibisana,,Aloe labworana,classenii,clarkei,debrana bud
fibrosa,lavranosii,,Aloe labworana ssp longifolia,congdonii emerging,classenii,deserti
Jacob’s Ladder,leptosiphon bud,,Aloe leptosiphon bud,cremnophila,congdonii,divaricata bud
macrosiphon bud,lukeana bud orange,,Aloe lolwensis,dawei,cremnophila end,elegans
mandotoensis,mcloughlinii,,Aloe lukeana,deserti,deserti,excelsa
mawii,omoana yellow,,Aloe megalacantha ssp alticola,elegans bud,diolii,eximia bud
microstigma,pendens,,Aloe montis-nabro,flexilifolia emerging bud,elegans,ferox
monticola bud,pirottae,,Aloe morijensis,francombei,excelsa,flexilifolia
montis-nabro bud,pulcherrima,,Aloe penduliflora bud,hardyi emerging,eximia buds,hardyi
nyeriensis,rendilliorum,,Aloe ruspoliana,harlana,ferox,jucunda bud
percrassa,rivae,,Aloe schelpei,IAS Tanzania,flexilifilia,labworana
petricola,somaliensis,,Aloe schweinfurthii,ithya,hardyi,lukeana
pseudorubroviolacea bud,tartarensis,,Aloe tororoana,jibisana,kulalensis,macrosiphon bud
rupestris,trichosantha ssp longifolia,,Aloe trichosantha bud,kulalensis,labworana end,marlothii
salm-dyckiana,vituensis bud,,Aloe tugenensis,labworana,lukeana end,mawii
sinana bud,whitcombei,,Aloe wilsonii,labworana ssp longifolia,macleayi,montis-nabro bud
spectablis,wilsonii imagit peak,,Aloe wollastonii,leptosiphon,marlothii,munchii
spicata,yavellana g powys,,Aloe wrefordii,lukeana,mawii buds,ngongensis
tauri,,,Aloe yavellana,macleayi bud,mcloughlinii end,penduliflora
trigonantha,,,,mcloughlinii,mendesii buds,percrassa
vanbalenii,,,,megalacantha,microstigma buds,pirottae
vaotsanda bud,,,,nyeriensis,munchii buds,powysiorum
volkensii ssp multicaulis,,,,otallensis,mutabilis,rabaiensis
,,,,parvicoma,ngongensis,rubriviolacea
,,,,penduliflora,otallensis,rupestris
,,,,percrassa bud,parvicoma,rupestris bud
,,,,pirottae,penduliflora,sabaea x pseudorubroviolacea
,,,,pubescens,percrassa,salm-dyckiana
,,,,rabaiensis,pirottae buds,scorpioides
,,,,retrospiciens,pluridens,seretii
,,,,rigens bud,powysiorum,somaliensis
,,,,rubroviolacea emerging bud,rabaiensis,speciosa bud
,,,,ruspoliana,rigens,spicata
,,,,schelpei,rubroviolacea,steudneri
,,,,schweinfurthii,rupestris buds,tauri
,,,,scobinifolia,sabaea x pseudorubroviolacea,tongaensis
,,,,scorpioides,salm dyckiana,tororoana
,,,,secundiflora,schelpei,trigonantha
,,,,somaliensis,scobinifolia,turkanensis
,,,,suffulta emerging,somaliensis,vallaris
,,,,suprafoliata bud,spicata,vanbalenii
,,,,tewoldii,steudneri buds,vituensis bud
,,,,tongaensis,suffulta,volkensii ssp multicaulis
,,,,tororoana,tauri-bud,wickensii
,,,,trichosantha,thraskii,
,,,,turkanensis emerging,tongaensis,
,,,,ukambensis,tororoana,
,,,,vacillans,trichosantha,
,,,,vallaris,turkanensis,
,,,,vanbalenii emerging,ukambensis,
,,,,volkensii ssp multicaulis emerging bud,vacillans,
,,,,wanalensis,vallaris,
,,,,wilsonii,vanbalenii,
,,,,wrefordii,volkensii ssp multicaulis,
,,,,yavellana Powys,wilsonii,
,,,,,wilsonii,
